domain,cluster,size,representative_user,common_occupations,example_users,silhouette
Finance,2,26,Nemotron_774AEC1B.yaml,"financial_manager, personal_financial_advisor, financial_or_investment_analyst",Nemotron_AAC5CD6D.yaml; Nemotron_5793C2B8.yaml; Nemotron_5DC69A5F.yaml; Nemotron_B7F39A18.yaml; Nemotron_54EAE98D.yaml,0.0924493524926488
Finance,3,15,Nemotron_44C3DCA3.yaml,"accountant_or_auditor, bookkeeping_accounting_or_auditing_clerk, financial_clerk",Nemotron_47ED0374.yaml; Nemotron_02C6ED08.yaml; Nemotron_E8E5E3B9.yaml; Nemotron_DAD23A86.yaml; Nemotron_FA019285.yaml,0.0924493524926488
Medical / healthcare,1,6,Nemotron_DAD2FEF2.yaml,"medical_records_specialist, personal_care_aide, surgeon",Nemotron_6AF8DAA8.yaml; Nemotron_85B24790.yaml; Nemotron_5F9B316D.yaml; Nemotron_DAD2FEF2.yaml; Nemotron_D757E929.yaml,0.12310745799514188
Medical / healthcare,2,15,Nemotron_0D2E1D6E.yaml,"registered_nurse, medical_or_health_services_manager, physician",Nemotron_B6B2C32E.yaml; Nemotron_E4E071B7.yaml; Nemotron_62961B18.yaml; Nemotron_CF62007F.yaml; Nemotron_78EFE608.yaml,0.12310745799514188
Medical / healthcare,3,11,Nemotron_D39CB893.yaml,"healthcare_support_worker, licensed_practical_or_licensed_vocational_nurse, miscellaneous_health_technologist_or_technician",Nemotron_6BD259CE.yaml; Nemotron_EB99965E.yaml; Nemotron_11B619B6.yaml; Nemotron_D83C1191.yaml; Nemotron_D39CB893.yaml,0.12310745799514188
Medical / healthcare,4,6,Nemotron_EBCEBC8A.yaml,"healthcare_practitioner_or_technical_occupation, registered_nurse, medical_assistant",Nemotron_66251462.yaml; Nemotron_EBCEBC8A.yaml; Nemotron_73EE31BB.yaml; Nemotron_D55727C0.yaml; Nemotron_CD08DBB4.yaml,0.12310745799514188
Medical / healthcare,5,7,Nemotron_607A5899.yaml,"nursing_assistant, physical_therapist, physician",Nemotron_24A37D16.yaml; Nemotron_1B0E39AD.yaml; Nemotron_5F23C5CF.yaml; Nemotron_19DA1B80.yaml; Nemotron_607A5899.yaml,0.12310745799514188
Medical / healthcare,6,5,Nemotron_65C77A44.yaml,"medical_assistant, healthcare_support_worker, physician",Nemotron_4EF46E87.yaml; Nemotron_65C77A44.yaml; Nemotron_C7D14E7E.yaml; Nemotron_C1020903.yaml; Nemotron_3E76CCB7.yaml,0.12310745799514188
Ecommerce / retail,1,14,Nemotron_41C0794B.yaml,"stocker_or_order_filler, logistician, shipping_receiving_or_inventory_clerk",Nemotron_980B30A8.yaml; Nemotron_4A9688C3.yaml; Nemotron_41C0794B.yaml; Nemotron_B2838B66.yaml; Nemotron_4B6E192B.yaml,0.09002815544200132
Ecommerce / retail,2,17,Nemotron_D9DAC60A.yaml,"first_line_supervisor_of_retail_sales_worker, retail_salesperson, cashier",Nemotron_AE6F4178.yaml; Nemotron_07F77AEB.yaml; Nemotron_EBE5EB96.yaml; Nemotron_AEE75F81.yaml; Nemotron_1E641B5E.yaml,0.09002815544200132
Ecommerce / retail,3,19,Nemotron_9144CE28.yaml,"shipping_receiving_or_inventory_clerk, laborer_or_freight_stock_or_material_mover, purchasing_manager",Nemotron_9E75DA21.yaml; Nemotron_13DC1DEC.yaml; Nemotron_AA9E3C3B.yaml; Nemotron_A3453DD0.yaml; Nemotron_9144CE28.yaml,0.09002815544200132
